t,abad_deg,mcp_deg,pip_deg,dip_deg
14.162803,-29.867755068872235,21.200552768121785,2.0080941841974793,-3.015165991418916
14.172806,-29.867755068872235,21.22286740280491,1.6884847416517557,-3.1342475359710633
14.182758,-29.867755068872235,21.250390461867863,1.3213311925532416,-3.2625254427787396
14.192757,-29.867755068872235,21.260414649377353,1.1512889827335149,-3.3216543835469152
14.202788,-29.867755068872235,21.272961006331265,1.0231211730390315,-3.3637997834500437
14.212788,-29.867755068872235,21.272028611200692,0.9000143874798399,-3.40134758108101
14.222806,-29.867755068872235,21.273097945984418,0.8547085001112816,-3.421053851114384
14.232756,-29.867755068872235,21.27167787670719,0.824707345823825,-3.457380521061706
14.242759,-29.867755068872235,21.27595206632362,0.8154214595232727,-3.471418797675534
14.252842,-29.867755068872235,21.297903907475117,0.8229425228590853,-3.4901740610701446
14.262787,-29.867755068872235,21.372229735623364,0.8276968734132909,-3.4883418883666506
14.272811,-29.867755068872235,21.439981624120435,0.8196480029500735,-3.4723781120144896
14.282791,-29.867755068872235,21.567866086964777,0.8061854213997686,-3.452444894922845
14.292803,-29.867755068872235,21.646133776653546,0.8353372654205532,-3.4845860946874025
14.302767,-29.867755068872235,21.726861123765993,0.8584173890903015,-3.504413882629189
14.312804,-29.867755068872235,21.881336908296177,0.8871082417921416,-3.4777796135838313
14.322808,-29.867755068872235,21.995202903206014,0.9435488715057228,-3.489858337166979
14.332757,-29.867755068872235,22.19059659599388,1.1264135082167177,-3.5032286408870394
14.342756,-29.867755068872235,22.306183407367236,1.4038296170615066,-3.403854220236898
14.352809,-29.867755068872235,22.391552999852685,1.990717245685102,-3.1611866374822477
14.362792,-29.867755068872235,22.439959340607697,3.51049018398515,-2.610566771010265
14.372809,-29.867755068872235,22.442518746482776,4.6857604569436795,-2.1398445433390325
14.382757,-29.867755068872235,22.43727730041068,6.499104262493214,-1.379445658298452
14.392757,-29.867755068872235,22.421660628396346,7.752695800086102,-0.8333642393346846
14.402807,-29.867755068872235,22.408181188348948,9.073925567263585,-0.2607245777854742
14.412804,-29.867755068872235,22.38613629822688,11.038180336600423,0.5988590865184019
14.422803,-29.867755068872235,22.373785775904302,12.285354296205082,1.1918096935953555
14.432804,-29.867755068872235,22.35807844011949,14.14163520396301,2.046788995635507
14.442804,-29.867755068872235,22.34158372947284,15.346044648377458,2.642732447899041
14.452796,-29.867755068872235,22.32814953601098,16.529721030342206,3.2482175888480747
14.462803,-29.867755068872235,22.31428157958575,18.329906848736886,4.125536116420137
14.472803,-29.867755068872235,22.30591526726926,19.53589948729249,4.744119518613541
14.482757,-29.867755068872235,22.28967551621182,21.308329520029453,5.711773718083632
14.492787,-29.867755068872235,22.282987366907587,22.45559811877973,6.35908313140062
14.502828,-29.867755068872235,22.27630779313294,23.612283281167922,6.965630583655269
14.512758,-29.867755068872235,22.26160039863251,25.291437902501475,7.925406901349225
14.522774,-29.867755068872235,22.257215776735862,26.40391661837574,8.549777174770647
14.532759,-29.867755068872235,22.236667452954837,28.113462136353867,9.487704449021566
14.542757,-29.867755068872235,22.226277412673024,29.22192136658062,10.142385728511451
14.552853,-29.867755068872235,22.217322762595018,30.301295836933548,10.806592546887165
14.562759,-29.867755068872235,22.19873766803998,31.936041646564895,11.744401815193843
14.572769,-29.867755068872235,22.192891428168288,33.0036744843953,12.389605110282073
14.582759,-29.867755068872235,22.16857908293957,34.57762747802462,13.376155100881109
14.592805,-29.867755068872235,22.165261203714742,35.62868334780561,14.046653339202837
14.602775,-29.867755068872235,22.161939110046116,36.666880991117644,14.716841130457027
14.612806,-29.867755068872235,22.16072140721872,38.22969062101771,15.69074882336604
14.622803,-29.867755068872235,22.145631332062166,39.27555501513527,16.358253466512956
14.632758,-29.867755068872235,22.132334546616818,40.80188781695713,17.394884310209147
14.642801,-29.867755068872235,22.128272723577503,41.831067251592216,18.06998985720352
14.652765,-29.867755068872235,22.121115527101164,42.840903324410114,18.796776145648852
14.662788,-29.867755068872235,22.11787430954935,44.341822836148815,19.869213526745636
14.672804,-29.867755068872235,22.10656703926032,45.353775857649055,20.570101974786063
14.682757,-29.867755068872235,22.093826189076157,46.85350459093177,21.636687433698988
14.692755,-29.867755068872235,22.087665461742482,47.810853333811814,22.360390751523315
14.702803,-29.867755068872235,22.079649415111206,48.78397479014265,23.0741633231107
14.712786,-29.867755068872235,22.063355627867118,50.23867269037929,24.174213670034764
14.722805,-29.867755068872235,22.054152246448332,51.213380546404416,24.921322665173356
14.732774,-29.867755068872235,22.04227392335394,52.66153228797083,26.00861076532916
14.742817,-29.867755068872235,22.035628346598457,53.600760757551676,26.688537988337984
14.752772,-29.867755068872235,22.02947223060767,54.534589303183594,27.41802211136217
14.762787,-29.867755068872235,22.02128588520646,55.92745540976264,28.5261024114909
