duration,joint_1,joint_2,joint_3,trq_lim_1,trq_lim_2,trq_lim_3
2.0,11.5348,16.5056,9.5406,0.00386,0.00386,0.01
2.0,11.5396,16.7266,9.7077
2.0,28.2,84.2902,95.2445
2.0,28.2,84.2902,95.2445
2.0,28.2,84.2902,95.2445
3.0,28.2,84.2902,95.2445
2.0,4.96,6.0796,23.6500
2.0,4.96,28.0,12.5
2.0,15.0,48.0,12.5
2.0,22.5,48.0,22.5

0.3,22.5,48.0,22.5
0.3,22.5,56.2,22.5
0.3,15.0,56.2,22.5
0.1,15.0,48.0,22.5
0.3,22.5,48.0,22.5
0.3,22.5,56.2,22.5
0.3,15.0,56.2,22.5
0.1,15.0,48.0,22.5
0.3,22.5,48.0,22.5
0.3,22.5,56.2,22.5
0.4,22.5,56.2,22.5
2.0,22.5,48.2,22.5
