duration,joint_1,joint_2,joint_3
2.0,20.388,6.3921,18.7141
2.0,20.388,6.3921,18.7141
2.0,21.1961,72.0,89.2
2.0,21.1961,72.0,89.2
2.0,21.1961,72.0,89.2
3.0,21.1961,72.0,89.2
3.0,21.1961,2.2210,73.4800
3.0,21.1961,72.0,89.2
