duration,joint_1,joint_2
2.0,-0.003,0.0685
2.0,-0.003,0.0685
2.0,-0.0025,0.065
2.0,-0.0012,-0.037
2.0,-0.0012,-0.037
3.0,-0.0012,-0.037
3.0,-0.0012,-0.037
