duration,joint_1,joint_2
2.0,27.8096,-15.1623
2.0,27.8096,-15.1623
2.0,34.8919,0.335
2.0,34.8891,0.335
2.0,34.8891,0.335
15.5,34.8891,0.335
3.0,9.5335,-29.6488
