duration,joint_1,joint_2,joint_3,trq_lim_1,trq_lim_2,trq_lim_3
2.0,5.7255,24.9051,5.8554,0.00386,0.00386,0.01
1.0,5.7174,24.9063,5.8639
2.0,2.7255,24.9051,5.8554
2.0,0.6779,18.9937,19.4109,0.00386,0.0045,0.02
1.5,10.0,26.0,100.0
4.5,10.0,26.0,100.0
2.0,6.8710,0.1205,16.1983
2.0,6.8710,32.5,0.0
2.0,0.0,52.5,0.0
2.0,22.5,62.5,0.0

0.3,22.5,62.5,0.0
0.3,7.5,67.5,11.2
0.3,0.0,56.2,22.5
0.1,0.0,62.5,0.0
0.3,22.5,62.5,0.0
0.3,7.5,67.5,11.2
0.3,0.0,56.2,22.5
0.1,0.0,62.5,0.0
0.3,22.5,62.5,0.0
0.3,7.5,67.5,11.2
0.4,7.5,67.5,11.2
2.0,7.5,62.5,5.0

