duration,joint_1,joint_2,joint_3,trq_lim_1,trq_lim_2,trq_lim_3
2.0,46.5907,32.4022,26.5047,0.00193,0.01,0.01
2.0,91.7969,42.1204,10.5099
2.0,91.7969,42.1204,10.5099,0.00193,0.03,0.03
2.0,85.0,70.8011,90.0
5.0,85.0,70.8011,90.0
2.0,85.0,57.0084,6.5341
2.0,85.0,0.0,20.0
2.0,83.4,0.0,20.0
2.0,100.7,2.9,30.0

0.3,100.7,2.9,30.0
0.3,91.6,19.3,40.0
0.3,83.4,1.0,42.0
0.1,83.4,0.0,30.0
0.3,100.7,2.9,30.0
0.3,91.6,19.3,40.0
0.3,83.4,1.0,42.0
0.1,83.4,0.0,30.0
0.3,100.7,2.9,30.0
0.3,80.6,19.3,40.0
0.4,80.6,19.3,40.0
0.4,80.6,19.3,30.0

