duration, joint_1                  , joint_2, K_pos_1, K_pos_2, K_vel_1, K_vel_2
2.0     , 0.0                      , 0.0    ,     2000,     600,    100,    120
7.0     , 0.0                      , 0.0
-1      , 팔짱 [9.0 sec]

3.0     , 0.0                      , 0.0   
-1      , 손목 털기 [3.0 sec]

3.0     , -60.0                    , -5.0
0.5     , -60.0                    , -5.0
1.5     , -65.0                    , -5.0
1.0     , -60.0                    , -5.0
-1      , 왼팔 스트레칭 [6.0 sec]

3.5     , 60.0                     , -5.0
0.5     , 60.0                     , -5.0
1.5     , 65.0                     , -5.0
1.0     , 60.0                     , -5.0
-1      , 오른팔 스트레칭 [6.5 sec]

2.2     , 0.0                      , 0.0

1.6     , 0.0                      , 20.0  
3.1     , 0.0                      , 20.0
-1      , 스프린트 모션

2.0     , 0.0                      , 0.0   
2.5     , 0.0                      , 0.0
-1      , 가슴 앞에 손 모으기

1.8     , 0.0                      , 0.0
-1      , 박수 치기
