t,abad_deg,mcp_deg,pip_deg
0.000000,-27.939282,18.852543,0.426913
0.005000,-27.990168,18.887242,0.426745
0.010000,-28.040131,18.921589,0.426528
0.015000,-28.089103,18.955433,0.426234
0.020000,-28.137099,18.988682,0.425900
0.025000,-28.184116,19.021336,0.425526
0.030000,-28.230212,19.053328,0.425213
0.035000,-28.275387,19.084672,0.424992
0.040000,-28.319658,19.115379,0.424926
0.045000,-28.363033,19.145454,0.425024
0.050000,-28.405553,19.174921,0.425367
0.055000,-28.447219,19.203785,0.425963
0.060000,-28.488056,19.232068,0.426874
0.065000,-28.528069,19.259771,0.428106
0.070000,-28.567290,19.286916,0.429716
0.075000,-28.605727,19.313511,0.431720
0.080000,-28.643395,19.339566,0.434212
0.085000,-28.680313,19.365092,0.437397
0.090000,-28.716492,19.390099,0.441620
0.095000,-28.751948,19.414596,0.447260
0.100000,-28.786693,19.438594,0.454774
0.105000,-28.820745,19.462103,0.464598
0.110000,-28.854117,19.485133,0.477194
0.115000,-28.886820,19.507693,0.492972
0.120000,-28.918871,19.529794,0.512354
0.125000,-28.950279,19.551446,0.535705
0.130000,-28.981060,19.572655,0.563390
0.135000,-29.011225,19.593432,0.595717
0.140000,-29.040790,19.613786,0.633003
0.145000,-29.069763,19.633727,0.675514
0.150000,-29.098156,19.653261,0.723518
0.155000,-29.125983,19.672398,0.777238
0.160000,-29.153252,19.691145,0.836910
0.165000,-29.179975,19.709511,0.902730
0.170000,-29.206166,19.727504,0.974912
0.175000,-29.231833,19.745129,1.053632
0.180000,-29.256989,19.762396,1.139073
0.185000,-29.281639,19.779313,1.231385
0.190000,-29.305797,19.795884,1.330719
0.195000,-29.329474,19.812120,1.437198
0.200000,-29.352676,19.828026,1.550959
0.205000,-29.375414,19.843607,1.672112
0.210000,-29.397698,19.858872,1.800767
0.215000,-29.419537,19.873827,1.937008
0.220000,-29.440940,19.888478,2.080933
0.225000,-29.461915,19.902831,2.232614
0.230000,-29.482471,19.916893,2.392120
0.235000,-29.502609,19.930664,2.559468
0.240000,-29.522352,19.944159,2.734726
0.245000,-29.541695,19.957376,2.917895
0.250000,-29.560656,19.970327,3.109021
0.255000,-29.579234,19.983014,3.308104
0.260000,-29.597443,19.995445,3.515165
0.265000,-29.615287,20.007622,3.730204
0.270000,-29.632769,20.019549,3.953217
0.275000,-29.649909,20.031239,4.184160
0.280000,-29.666708,20.042692,4.423032
0.285000,-29.683169,20.053914,4.669785
0.290000,-29.699295,20.064907,4.924413
0.295000,-29.715103,20.075680,5.186840
