t,abad_deg,mcp_deg,pip_deg
0.660000,-30.486887,20.597240,38.727511
0.665000,-30.486935,20.597422,39.262670
0.670000,-30.486983,20.597605,39.797661
0.675000,-30.487027,20.597790,40.332421
0.680000,-30.487072,20.597976,40.866886
0.685000,-30.487116,20.598162,41.401000
0.690000,-30.487157,20.598350,41.934701
0.695000,-30.487198,20.598539,42.467927
0.700000,-30.487236,20.598729,43.000620
0.705000,-30.487273,20.598920,43.532723
0.710000,-30.487308,20.599113,44.064187
0.715000,-30.487342,20.599308,44.594954
0.720000,-30.487376,20.599502,45.124970
0.725000,-30.487407,20.599699,45.654183
0.730000,-30.487437,20.599897,46.182539
0.735000,-30.487465,20.600095,46.709984
0.740000,-30.487492,20.600294,47.236468
0.745000,-30.487519,20.600496,47.761939
0.750000,-30.487543,20.600697,48.286347
0.755000,-30.487567,20.600901,48.809645
0.760000,-30.487591,20.601104,49.331782
0.765000,-30.487611,20.601309,49.852711
0.770000,-30.487632,20.601515,50.372382
0.775000,-30.487652,20.601722,50.890749
0.780000,-30.487670,20.601930,51.407767
0.785000,-30.487687,20.602140,51.923382
0.790000,-30.487704,20.602350,52.437548
0.795000,-30.487717,20.602562,52.950215
0.800000,-30.487731,20.602774,53.461359
0.805000,-30.487745,20.602987,53.970919
0.810000,-30.487755,20.603201,54.478846
0.815000,-30.487765,20.603416,54.985089
0.820000,-30.487775,20.603631,55.489604
0.825000,-30.487782,20.603848,55.992344
0.830000,-30.487789,20.604065,56.493256
0.835000,-30.487796,20.604283,56.992294
0.840000,-30.487803,20.604502,57.489409
0.845000,-30.487806,20.604722,57.984556
0.850000,-30.487810,20.604942,58.477682
0.855000,-30.487813,20.605164,58.968739
0.860000,-30.487816,20.605386,59.457678
0.865000,-30.487816,20.605608,59.944445
0.870000,-30.487816,20.605832,60.428999
0.875000,-30.487816,20.606056,60.911286
0.880000,-30.487816,20.606279,61.391257
0.885000,-30.487813,20.606505,61.868851
0.890000,-30.487810,20.606730,62.344027
0.895000,-30.487806,20.606956,62.816724
0.900000,-30.487803,20.607183,63.286894
0.905000,-30.487796,20.607410,63.754482
0.910000,-30.487789,20.607637,64.219433
0.915000,-30.487782,20.607864,64.681687
0.920000,-30.487775,20.608091,65.141194
0.925000,-30.487769,20.608320,65.597895
0.930000,-30.487758,20.608549,66.051727
0.935000,-30.487748,20.608778,66.502635
0.940000,-30.487738,20.609006,66.950559
0.945000,-30.487728,20.609235,67.395437
0.950000,-30.487717,20.609464,67.837200
0.955000,-30.487707,20.609693,68.275794
0.960000,-30.487693,20.609922,68.711150
0.965000,-30.487680,20.610150,69.143200
0.970000,-30.487666,20.610379,69.571883
0.975000,-30.487652,20.610608,69.997131
0.980000,-30.487639,20.610837,70.418875
0.985000,-30.487625,20.611066,70.837039
0.990000,-30.487611,20.611293,71.251564
0.995000,-30.487594,20.611520,71.662365
1.000000,-30.487577,20.611747,72.069376
1.005000,-30.487560,20.611974,72.472521
1.010000,-30.487543,20.612201,72.871725
1.015000,-30.487526,20.612428,73.266906
1.020000,-30.487509,20.612657,73.657989
1.025000,-30.487492,20.612915,74.044899
1.030000,-30.487475,20.613214,74.427554
1.035000,-30.487454,20.613591,74.805864
1.040000,-30.487434,20.614064,75.179756
1.045000,-30.487413,20.614674,75.549139
1.050000,-30.487393,20.615435,75.913933
1.055000,-30.487372,20.616388,76.274048
1.060000,-30.487352,20.617546,76.629395
1.065000,-30.487331,20.618946,76.979886
1.070000,-30.487311,20.620602,77.325432
1.075000,-30.487290,20.622549,77.665944
1.080000,-30.487270,20.624800,78.001334
1.085000,-30.487249,20.627385,78.331505
1.090000,-30.487229,20.630318,78.656377
1.095000,-30.487205,20.633631,78.975845
1.100000,-30.487181,20.637331,79.289829
1.105000,-30.487157,20.641448,79.598232
1.110000,-30.487133,20.645990,79.900960
1.115000,-30.487109,20.650986,80.197930
1.120000,-30.487086,20.656445,80.489046
1.125000,-30.487062,20.662391,80.774220
1.130000,-30.487038,20.668825,81.053363
1.135000,-30.487014,20.675778,81.326379
1.140000,-30.486990,20.683256,81.593187
1.145000,-30.486966,20.691279,81.853691
1.150000,-30.486942,20.699853,82.107808
1.155000,-30.486918,20.708997,82.355450
1.160000,-30.486894,20.718716,82.596535
1.165000,-30.486870,20.729033,82.830974
1.170000,-30.486846,20.739950,83.058686
1.175000,-30.486823,20.751482,83.279581
1.180000,-30.486799,20.763630,83.493585
1.185000,-30.486775,20.776414,83.700608
1.190000,-30.486751,20.789836,83.900575
1.195000,-30.486727,20.803914,84.093412
1.200000,-30.486703,20.818651,84.279036
1.205000,-30.486679,20.834053,84.457372
1.210000,-30.486655,20.850115,84.628352
1.215000,-30.486631,20.866858,84.791901
1.220000,-30.486611,20.884284,84.947951
1.225000,-30.486590,20.902399,85.096425
1.230000,-30.486570,20.921202,85.237264
1.235000,-30.486549,20.940708,85.370405
1.240000,-30.486529,20.960917,85.495780
1.245000,-30.486508,20.981836,85.613320
1.250000,-30.486488,21.003460,85.722972
1.255000,-30.486467,21.025800,85.824681
1.260000,-30.486447,21.048848,85.918391
1.265000,-30.486426,21.072617,86.004048
1.270000,-30.486406,21.097104,86.081598
1.275000,-30.486385,21.122312,86.150986
1.280000,-30.486365,21.148240,86.212171
1.285000,-30.486344,21.174896,86.265105
1.290000,-30.486324,21.202280,86.309774
1.295000,-30.486303,21.230390,86.346104
1.300000,-30.486286,21.259218,86.374060
1.305000,-30.486269,21.288771,86.393601
1.310000,-30.486252,21.319044,86.404700
1.315000,-30.486235,21.350039,86.407337
1.320000,-30.486218,21.381760,86.401456
1.325000,-30.486201,21.414207,86.387051
1.330000,-30.486184,21.447369,86.364067
1.335000,-30.486167,21.481247,86.332512
1.340000,-30.486150,21.515834,86.292337
