t,abad_deg,mcp_deg,pip_deg
0.000000,-30.451821,20.763618,0.114644
0.005000,-30.451801,20.763970,0.114350
0.010000,-30.451784,20.764789,0.113474
0.015000,-30.451770,20.765769,0.112339
0.020000,-30.451760,20.766755,0.111170
0.025000,-30.451753,20.767632,0.110453
0.030000,-30.451746,20.768363,0.110415
0.035000,-30.451739,20.768947,0.111470
0.040000,-30.451736,20.769401,0.113755
0.045000,-30.451732,20.769746,0.117634
0.050000,-30.451729,20.770004,0.123249
0.055000,-30.451726,20.770194,0.131041
0.060000,-30.451726,20.770332,0.141274
0.065000,-30.451726,20.770429,0.155366
0.070000,-30.451726,20.770494,0.175484
0.075000,-30.451726,20.770532,0.204743
0.080000,-30.451726,20.770549,0.246170
0.085000,-30.451726,20.770549,0.303066
0.090000,-30.451726,20.770537,0.378192
0.095000,-30.451726,20.770516,0.474391
0.100000,-30.451726,20.770491,0.593775
0.105000,-30.451726,20.770462,0.738269
0.110000,-30.451726,20.770435,0.909013
0.115000,-30.451726,20.770409,1.107016
0.120000,-30.451726,20.770385,1.332556
0.125000,-30.451726,20.770366,1.585778
0.130000,-30.451726,20.770353,1.866195
0.135000,-30.451726,20.770344,2.173325
0.140000,-30.451726,20.770341,2.506170
0.145000,-30.451726,20.770341,2.863708
0.150000,-30.451726,20.770346,3.244502
0.155000,-30.451726,20.770356,3.647255
0.160000,-30.451726,20.770370,4.070348
0.165000,-30.451726,20.770387,4.512385
0.170000,-30.451726,20.770407,4.971742
0.175000,-30.451726,20.770429,5.446971
0.180000,-30.451726,20.770453,5.936473
0.185000,-30.451726,20.770479,6.438871
0.190000,-30.451726,20.770505,6.952702
0.195000,-30.451726,20.770532,7.476885
0.200000,-30.451726,20.770559,8.010291
0.205000,-30.451726,20.770585,8.552062
0.210000,-30.451726,20.770610,9.101308
0.215000,-30.451726,20.770636,9.657492
0.220000,-30.451726,20.770660,10.220040
0.225000,-30.451726,20.770682,10.788559
0.230000,-30.451726,20.770704,11.362606
0.235000,-30.451726,20.770725,11.941888
0.240000,-30.451726,20.770745,12.526055
0.245000,-30.451726,20.770764,13.114980
0.250000,-30.451726,20.770783,13.708475
0.255000,-30.451726,20.770800,14.306483
0.260000,-30.451722,20.770817,14.908882
0.265000,-30.451722,20.770834,15.515654
0.270000,-30.451722,20.770849,16.126708
0.275000,-30.451722,20.770865,16.742045
0.280000,-30.451722,20.770880,17.361545
0.285000,-30.451722,20.770897,17.985223
0.290000,-30.451719,20.770914,18.613024
0.295000,-30.451715,20.770931,19.244920
0.300000,-30.451712,20.770948,19.880825
0.305000,-30.451712,20.770966,20.520684
0.310000,-30.451712,20.770984,21.164386
0.315000,-30.451709,20.771003,21.811890
0.320000,-30.451705,20.771022,22.463101
0.325000,-30.451705,20.771041,23.117865
0.330000,-30.451705,20.771061,23.775989
0.335000,-30.451702,20.771082,24.437281
0.340000,-30.451698,20.771104,25.101521
0.345000,-30.451695,20.771126,25.768591
0.350000,-30.451695,20.771150,26.438359
0.355000,-30.451695,20.771174,27.110617
0.360000,-30.451691,20.771198,27.785146
0.365000,-30.451691,20.771222,28.461748
0.370000,-30.451688,20.771247,29.140220
0.375000,-30.451685,20.771273,29.820343
0.380000,-30.451681,20.771300,30.501900
0.385000,-30.451678,20.771328,31.184595
0.390000,-30.451674,20.771355,31.868140
0.395000,-30.451674,20.771384,32.552381
0.400000,-30.451671,20.771413,33.237183
0.405000,-30.451668,20.771442,33.922333
0.410000,-30.451664,20.771471,34.607629
0.415000,-30.451661,20.771500,35.292875
0.420000,-30.451657,20.771529,35.977885
0.425000,-30.451654,20.771560,36.662434
0.430000,-30.451651,20.771591,37.346313
0.435000,-30.451647,20.771621,38.029353
0.440000,-30.451644,20.771652,38.711402
0.445000,-30.451640,20.771683,39.392266
0.450000,-30.451637,20.771713,40.071777
0.455000,-30.451633,20.771746,40.749769
0.460000,-30.451630,20.771778,41.426105
0.465000,-30.451627,20.771811,42.100654
0.470000,-30.451623,20.771843,42.773360
0.475000,-30.451620,20.771876,43.444019
0.480000,-30.451616,20.771908,44.112490
0.485000,-30.451613,20.771941,44.778655
0.490000,-30.451610,20.771973,45.442423
0.495000,-30.451606,20.772005,46.103654
0.500000,-30.451603,20.772038,46.762241
0.505000,-30.451599,20.772070,47.418056
0.510000,-30.451596,20.772103,48.070998
0.515000,-30.451592,20.772135,48.720982
0.520000,-30.451589,20.772168,49.367989
0.525000,-30.451582,20.772200,50.011895
0.530000,-30.451579,20.772231,50.652625
0.535000,-30.451572,20.772263,51.290056
0.540000,-30.451569,20.772294,51.924095
0.545000,-30.451565,20.772326,52.554652
